exposure,model,comparison,reference,odds_ratio,ci_95_low,ci_95_high,p_value,strata,cases,control_times
mean_wind,continuous,per 5 m/s,,1.0827351842767696,1.0442203727878596,1.1226705682259408,1.6967527499115936e-05,6190,6190,20869
mean_wind,categorical,5-10,0-5,0.9941243307682424,0.931462486261953,1.0610015965232047,0.859191833807086,6190,6190,20869
mean_wind,categorical,10-15,0-5,1.014493251306957,0.9205932624407575,1.1179709855997257,0.7715344863720122,6190,6190,20869
mean_wind,categorical,>=15,0-5,1.611772892201017,1.3879164493284017,1.8717350437708877,3.934146362169453e-10,6190,6190,20869
wind_gust,continuous,per 5 m/s,,1.063256614510418,1.036359543964075,1.090851755922407,2.7068893439117694e-06,6190,6190,20869
wind_gust,categorical,10-15,0-10,0.9715457877024763,0.90178897582769,1.0466985546547443,0.44763916695774286,6190,6190,20869
wind_gust,categorical,15-20,0-10,1.0595058352536326,0.9524957068639027,1.1785382410095142,0.28730949100006076,6190,6190,20869
wind_gust,categorical,20-25,0-10,1.33168585345217,1.1268261791209626,1.5737895028921447,0.000776617834269636,6190,6190,20869
wind_gust,categorical,25-30,0-10,1.4600860207456672,1.1083737046047262,1.9234046956546922,0.007108840566445445,6190,6190,20869
wind_gust,categorical,>=30,0-10,3.2143483183296118,2.304909580947775,4.48262057520707,5.943721923695769e-12,6190,6190,20869
temperature,continuous,per 5 deg C,,0.9242539497805544,0.8846007568540204,0.9656846402923955,0.0004304476974646437,5697,5697,19175
temperature,categorical,<-5,0-5,0.9795529516708968,0.8412489836341331,1.1405945252760887,0.7902221613468163,5697,5697,19175
temperature,categorical,-5-0,0-5,1.314076695560802,1.1966417522801693,1.4430363628259082,1.0750306958636184e-08,5697,5697,19175
temperature,categorical,5-10,0-5,0.7869449527334507,0.7118394692391729,0.8699747420504139,2.8451371596693063e-06,5697,5697,19175
temperature,categorical,10-15,0-5,0.8652192786089203,0.7516370671893817,0.9959652507237551,0.043771714283026744,5697,5697,19175
temperature,categorical,>=15,0-5,1.2977410034978252,1.0509019464998293,1.602558371662333,0.01546936576699999,5697,5697,19175
