coarse_bin,observed_accidents,expected_accidents,background_measurements,stations,bootstrap_ci_95_low,bootstrap_ci_95_high,bootstrap_median,bootstrap_standard_error,bootstrap_probability_above_1,bootstrap_reps,bootstrap_stations,relative_accident_frequency,variable,radius_km,severity_group,analysis_season,max_time_difference_minutes,bin_order
0-5,2425,2568.749030730972,78905616,254,0.9181159535506208,0.9707491385880054,0.943910301904267,0.01325299775836361,0.0,5000,254,0.944039285655685,f,10,Injury accidents,All seasons,5,0
5-10,1607,1596.3367762737164,47802918,254,0.9614550143314332,1.0542657722080098,1.0062748865045723,0.02340504229659798,0.6076,5000,254,1.0066798083491972,f,10,Injury accidents,All seasons,5,1
10-15,566,541.0335036181405,15653720,254,0.9585570697713021,1.1476973245200133,1.0463869718626508,0.04801876739909431,0.8376,5000,254,1.0461459340593458,f,10,Injury accidents,All seasons,5,2
15-20,192,123.80527351852652,3774928,250,1.341649138972489,1.7550214363888117,1.5497489066807275,0.10587792949711085,1.0,5000,254,1.5508224693778383,f,10,Injury accidents,All seasons,5,3
20-25,53,22.80856127911293,768787,238,1.6696680777749058,3.0628694495621387,2.314696424865799,0.3578424393653596,1.0,5000,254,2.323688870658188,f,10,Injury accidents,All seasons,5,4
>=25,15,5.266854579531506,187316,207,0.9001473097015331,6.197723110416,2.7630384572547233,1.3821861877185464,0.9648,5000,254,2.847999650169622,f,10,Injury accidents,All seasons,5,5
0-5,3107,3279.810421849389,85269337,270,0.9247126987378168,0.9703141519918073,0.9474309581884761,0.011694084502717802,0.0,5000,270,0.9473108504387439,f,20,Injury accidents,All seasons,5,0
5-10,2085,2035.930897782972,52276610,270,0.9865484744475735,1.0657105822262478,1.024024956754738,0.020449433010041977,0.8852,5000,270,1.0241015558388853,f,20,Injury accidents,All seasons,5,1
10-15,700,683.7664006315317,17403408,270,0.9410985857005101,1.1069281073781405,1.0228132364448785,0.04231768400625678,0.6986,5000,270,1.0237414405760137,f,20,Injury accidents,All seasons,5,2
15-20,223,157.1247404293699,4272703,266,1.2251162371708109,1.6042659157170973,1.4140501241225556,0.09769254604905761,1.0,5000,270,1.4192545323582704,f,20,Injury accidents,All seasons,5,3
20-25,61,28.95002284178858,875172,255,1.541599670084574,2.7309932670790555,2.1149818245557137,0.306183765383003,1.0,5000,270,2.107079511935588,f,20,Injury accidents,All seasons,5,4
>=25,16,6.417516464948717,212045,223,0.856546213735771,5.36934419521696,2.4337909293897715,1.1531653790636112,0.9558,5000,270,2.4931763069699984,f,20,Injury accidents,All seasons,5,5
0-5,3205,3385.710855840106,86506133,272,0.9240785217434723,0.9693060318250909,0.9462152983008352,0.011461734686527811,0.0,5000,272,0.946625431546113,f,30,Injury accidents,All seasons,5,0
5-10,2169,2106.4220823679543,53270384,272,0.9928168705845396,1.0706008058011118,1.0299839257587635,0.01964440577272697,0.9452,5000,272,1.0297081568579542,f,30,Injury accidents,All seasons,5,1
10-15,719,706.8903538311121,17850954,272,0.940904162438114,1.1005808656647527,1.0179734650733034,0.04109904548858011,0.6576,5000,272,1.017130869169819,f,30,Injury accidents,All seasons,5,2
15-20,227,162.88620880433106,4416475,268,1.20335408040991,1.5792613859697477,1.3918883167495544,0.09567679246702376,1.0,5000,272,1.3936109242537922,f,30,Injury accidents,All seasons,5,3
20-25,62,30.19849469150634,910242,257,1.5064803824499164,2.6774145429520577,2.0508244198612875,0.29505692384098786,1.0,5000,272,2.053082467631679,f,30,Injury accidents,All seasons,5,4
>=25,17,6.89200446499003,224230,226,0.9308443057113167,5.2331406042054915,2.4319988377399637,1.1293662475384518,0.965,5000,272,2.4666263764564453,f,30,Injury accidents,All seasons,5,5
0-5,734,762.5353359838282,63042717,229,0.9116768203416136,1.0133774107285407,0.9618086657364509,0.025871348812494595,0.0698,5000,229,0.9625783427504881,f,20,Serious or fatal,All seasons,5,0
5-10,466,457.9080908275683,38059636,229,0.9446680856280951,1.092176713055772,1.0171866649964256,0.03792183910197656,0.6854,5000,229,1.0176714701804184,f,20,Serious or fatal,All seasons,5,1
10-15,144,144.36095672276286,12160004,229,0.8384846064031328,1.1717180519513573,1.0006415304350147,0.08417954899879265,0.5046,5000,229,0.9974996236450825,f,20,Serious or fatal,All seasons,5,2
15-20,46,31.868888295698525,2860785,225,1.0291984450891236,1.9036870719866057,1.4402173844999298,0.22310335847672347,0.9822,5000,229,1.4434140147338874,f,20,Serious or fatal,All seasons,5,3
20-25,11,5.982372442018774,566735,216,0.6799115282980582,3.3510949463634763,1.8106679545414344,0.6917721719616647,0.9122,5000,229,1.8387354024865774,f,20,Serious or fatal,All seasons,5,4
>=25,3,1.344355728123213,139129,188,0.0,6.685932747762604,2.172620746607028,1.6928636228569818,0.82,5000,229,2.2315522128865015,f,20,Serious or fatal,All seasons,5,5
0-5,77,74.4074038987747,14822641,88,0.876957009173596,1.1891951568100452,1.0331191966713429,0.08014330597304178,0.6548,5000,88,1.0348432543722708,f,20,Fatal,All seasons,5,0
5-10,35,45.32845385953059,8937808,88,0.5686846102668159,0.9912247146103909,0.7723538565064575,0.10955677123244344,0.0202,5000,88,0.7721419333750567,f,20,Fatal,All seasons,5,1
10-15,19,14.85622907117601,2961898,88,0.8041915513194802,1.7610561993733693,1.2809607268237035,0.24554939518619073,0.871,5000,88,1.2789248138926261,f,20,Fatal,All seasons,5,2
15-20,7,3.47191273223541,718426,88,0.709454198979925,3.5853274758531195,1.992819995050342,0.7308272917036446,0.9318,5000,88,2.016179708380231,f,20,Fatal,All seasons,5,3
20-25,1,0.7363877713578288,153088,87,0.0,5.209170421609594,1.2726977664904096,1.5447691457330759,0.6094,5000,88,1.3579801823108704,f,20,Fatal,All seasons,5,4
>=25,0,0.19961266692543775,46010,64,0.0,0.0,0.0,0.0,0.0,5000,88,0.0,f,20,Fatal,All seasons,5,5
0-5,865,898.0391276297618,22063672,209,0.9105999616288938,1.0145802682019553,0.9631066307995169,0.026723264378276837,0.077,5000,209,0.9632097014336518,f,20,Injury accidents,Winter,5,0
5-10,672,706.8846787652485,17114453,209,0.8906536257620493,1.0173330689160716,0.9504068520038769,0.031926943323502856,0.0688,5000,209,0.9506501133591078,f,20,Injury accidents,Winter,5,1
10-15,341,320.4739306937891,7761220,209,0.9565765177946598,1.17669818841634,1.0647909604167618,0.05577333221097488,0.8796,5000,209,1.0640491077129872,f,20,Injury accidents,Winter,5,2
15-20,119,86.44926692222384,2304005,206,1.0947469298287245,1.6285243039189343,1.3703801551699337,0.13390965085561987,0.9962,5000,209,1.3765298913067847,f,20,Injury accidents,Winter,5,3
20-25,32,17.390938296276726,533451,201,1.256625109327606,2.4837275442969453,1.8303637216698108,0.3135493486090244,0.9972,5000,209,1.8400387290690905,f,20,Injury accidents,Winter,5,4
>=25,4,3.7620576927000107,139806,182,0.2130104663658153,2.539876023006229,1.0351235385911042,0.5989026970744442,0.5288,5000,209,1.063247915565383,f,20,Injury accidents,Winter,5,5
0-5,370,413.3264668244206,12813392,185,0.8397660038663296,0.9533432457657831,0.8948918465717006,0.029092029248725976,0.0,5000,185,0.8951761614558655,f,20,Injury accidents,Spring,5,0
5-10,302,280.3625501744718,8454273,185,0.9771270086102992,1.1795624691449602,1.0767125756194302,0.05166100707646006,0.9354,5000,185,1.077176676457191,f,20,Injury accidents,Spring,5,1
10-15,79,79.60315393577078,2474528,185,0.7684615564396516,1.2116899890415413,0.9929844948651003,0.11289711768847494,0.4764,5000,185,0.992422989467761,f,20,Injury accidents,Spring,5,2
15-20,24,14.24585690106276,483302,184,1.0561837828323337,2.330876052878454,1.676078856861062,0.32382458151163585,0.9836,5000,185,1.684700342470067,f,20,Injury accidents,Spring,5,3
20-25,10,2.0993232173175893,77496,167,1.8945705852707875,8.63741640851792,4.661564865396771,1.7282011989352812,0.997,5000,185,4.763439911257449,f,20,Injury accidents,Spring,5,4
>=25,5,0.36264894695646627,13725,98,2.043445334179258,41.81109000794237,13.23681452020476,10.360509579046749,0.9842,5000,185,13.787438353158153,f,20,Injury accidents,Spring,5,5
0-5,1285,1400.277276039291,37711408,250,0.8859627361908302,0.9509259936088424,0.9175180024116312,0.016684645046934024,0.0,5000,250,0.9176753932868532,f,20,Injury accidents,Summer,5,0
5-10,784,696.649163628959,19105258,250,1.0576506865235538,1.1921962965424497,1.1258266764798424,0.034991762649122675,0.9998,5000,250,1.1253871258755501,f,20,Injury accidents,Summer,5,1
10-15,154,148.8958753248135,4264590,249,0.8861800545159478,1.1826492169076341,1.034385326704247,0.07629315219216892,0.6772,5000,250,1.0342798258450878,f,20,Injury accidents,Summer,5,2
15-20,43,23.21832073099838,719925,240,1.3341707912810634,2.4837353630540355,1.8471998700307295,0.29238380990855417,0.9998,5000,250,1.851985787352461,f,20,Injury accidents,Summer,5,3
20-25,4,3.3277189546364014,109212,220,0.22716451960392262,2.921023720786282,1.184853559487769,0.7069992671675858,0.6164,5000,250,1.20202458636927,f,20,Injury accidents,Summer,5,4
>=25,3,0.6316453213016415,19644,137,0.0,19.954905272228,4.413657251164132,5.298693614029017,0.8536,5000,250,4.74950086516568,f,20,Injury accidents,Summer,5,5
0-5,587,568.1675513559154,12680865,184,0.9801150547310727,1.085794117614143,1.0329555106595771,0.027130534726328575,0.883,5000,184,1.033145941895382,f,20,Injury accidents,Fall,5,0
5-10,327,352.0345052142928,7602626,184,0.8533054872035004,1.0033301678642546,0.929379334220664,0.03795140749371632,0.0298,5000,184,0.9288862175625267,f,20,Injury accidents,Fall,5,1
10-15,126,134.79344067715837,2903070,184,0.7862509629753351,1.089874967141709,0.9346123179534909,0.07884037476191832,0.2068,5000,184,0.9347635861731625,f,20,Injury accidents,Fall,5,2
15-20,37,33.21129587508492,765471,182,0.7884579250854112,1.4412388480706881,1.1100259656893998,0.16630057361689832,0.754,5000,184,1.1140787802790122,f,20,Injury accidents,Fall,5,3
20-25,15,6.132042373557863,155013,169,1.2705044883078853,3.8996551287531216,2.4461557292000435,0.6690357445921026,0.9928,5000,184,2.4461670494453664,f,20,Injury accidents,Fall,5,4
>=25,4,1.661164503990599,38870,126,0.0,6.383061337384159,2.3046739686232085,1.648753588251976,0.8436,5000,184,2.407949357448248,f,20,Injury accidents,Fall,5,5
0-5,1541,1717.2307392745977,53119446,254,0.8606333893201593,0.9332974343094266,0.8975056844724734,0.018683558938424435,0.0,5000,254,0.897375038051647,fg,10,Injury accidents,All seasons,5,0
5-10,1675,1619.596581354699,49112818,254,0.9868329970659553,1.08212005938366,1.0348363657858148,0.024860033610800008,0.9148,5000,254,1.0342081597869015,fg,10,Injury accidents,All seasons,5,1
10-15,906,931.5267076424658,27565841,254,0.9019323766760977,1.0453942106493448,0.9714777262038341,0.03634015123156889,0.2158,5000,254,0.9725969127529692,fg,10,Injury accidents,All seasons,5,2
15-20,435,395.94923504617634,11409996,254,0.9874942759922795,1.2194331181744567,1.0986270300337833,0.05875389606850381,0.9556,5000,254,1.0986256860662187,fg,10,Injury accidents,All seasons,5,3
20-25,175,136.18759427818875,4063169,253,1.0804789724560366,1.5023094935672436,1.283298113174411,0.1085143048195682,0.9982,5000,254,1.2849922265498692,fg,10,Injury accidents,All seasons,5,4
25-30,63,41.457517090542744,1294558,251,1.140338406937917,1.915020647932645,1.5153601419262654,0.20010072462234432,0.9968,5000,254,1.519627908791757,fg,10,Injury accidents,All seasons,5,5
30-35,35,11.4742699723033,374006,245,1.932908138321133,4.166125577517419,3.045521368249886,0.5706794390973462,1.0,5000,254,3.0503029896004996,fg,10,Injury accidents,All seasons,5,6
>=35,28,4.577355341025997,153451,228,3.5774144354354442,9.256550681652685,6.114003747825939,1.4532099555557216,0.9998,5000,254,6.117069336750227,fg,10,Injury accidents,All seasons,5,7
0-5,1965,2195.203285834692,57481655,270,0.8639195612132942,0.9264152843027221,0.8948607681999312,0.01574173463461805,0.0,5000,270,0.8951334997901296,fg,20,Injury accidents,All seasons,5,0
5-10,2166,2076.9940500951097,53570919,270,1.0004102911947501,1.0852044169470447,1.043687702771528,0.021603698604789563,0.976,5000,270,1.0428532522280527,fg,20,Injury accidents,All seasons,5,1
10-15,1184,1181.229927891528,30204107,270,0.9438299155016897,1.0642599414301224,1.0017808553893772,0.03084487624784253,0.524,5000,270,1.0023450744373,fg,20,Injury accidents,All seasons,5,2
15-20,525,497.1259269338867,12555529,270,0.9530268112553174,1.1628025302888105,1.0542096307377726,0.0533439346150795,0.8496,5000,270,1.0560704472567577,fg,20,Injury accidents,All seasons,5,3
20-25,209,170.34586616551948,4483502,270,1.046060997025972,1.4233996543672784,1.2226425257221765,0.0964439844929709,0.994,5000,270,1.226915596513047,fg,20,Injury accidents,All seasons,5,4
25-30,75,51.475074297162045,1427865,268,1.104400831881977,1.8220461430671546,1.4547549528919355,0.18543230886335504,0.9964,5000,270,1.4570158668840414,fg,20,Injury accidents,All seasons,5,5
30-35,40,14.090714704636438,413564,261,1.8958834535203313,3.832052938150393,2.823384200688036,0.4912027977825605,1.0,5000,270,2.8387488383991135,fg,20,Injury accidents,All seasons,5,6
>=35,28,5.5351540774655,172134,246,2.9395968883762795,7.568267535343308,5.024633971127589,1.1890619056071317,1.0,5000,270,5.058576438548023,fg,20,Injury accidents,All seasons,5,7
0-5,2025,2266.7362448801723,58307782,272,0.8647009447887416,0.9230808658279988,0.8931568418583486,0.01464487051435086,0.0,5000,272,0.8933549302764374,fg,30,Injury accidents,All seasons,5,0
5-10,2246,2150.199138076033,54494955,272,1.0035260573478426,1.0858855897158757,1.0447219638753484,0.02087229160544245,0.9838,5000,272,1.0445544136947653,fg,30,Injury accidents,All seasons,5,1
10-15,1230,1220.2714238294343,30824845,272,0.950029181743782,1.0676298086659717,1.007447107824182,0.030236370652513923,0.5906,5000,272,1.0079724690594127,fg,30,Injury accidents,All seasons,5,2
15-20,538,512.4999362133215,12861229,272,0.9532833514393058,1.1495867057416593,1.0478955879293148,0.05055171387557627,0.835,5000,272,1.0497562282155377,fg,30,Injury accidents,All seasons,5,3
20-25,214,175.73254191758767,4610888,272,1.0345467235401637,1.4129525252806074,1.2157832824842183,0.09711114624968632,0.9922,5000,272,1.2177596571746991,fg,30,Injury accidents,All seasons,5,4
25-30,77,53.1702640556525,1471241,270,1.0947434903274968,1.818544014791851,1.4475305994860337,0.186655086660337,0.9932,5000,272,1.4481778747497902,fg,30,Injury accidents,All seasons,5,5
30-35,40,14.58879897836195,427646,263,1.8220649262152335,3.7334198972518866,2.740576106020172,0.48754778024681916,1.0,5000,272,2.7418295405487347,fg,30,Injury accidents,All seasons,5,6
>=35,29,5.801652049436603,179832,248,2.9496798257087824,7.445434793566668,4.976928421083871,1.1639188138977616,1.0,5000,272,4.998576224993738,fg,30,Injury accidents,All seasons,5,7
0-5,465,511.4322266872845,42638735,229,0.8418234093158365,0.9773651144510763,0.9082956292426116,0.034552207657701714,0.0046,5000,229,0.9092113788213124,fg,20,Serious or fatal,All seasons,5,0
5-10,516,478.9188151675289,39378299,229,1.0005226136299215,1.1528802152119382,1.0772718636189107,0.03928113002841744,0.9764,5000,229,1.077426869978996,fg,20,Serious or fatal,All seasons,5,1
10-15,242,260.6682440651777,21629975,229,0.834000832614057,1.0311338724860957,0.9292122734816344,0.05093673642697915,0.0862,5000,229,0.9283831287845332,fg,20,Serious or fatal,All seasons,5,2
15-20,107,104.09922088828972,8735834,229,0.837589500520807,1.2380839174936769,1.0255661568454766,0.10170599066688671,0.6066,5000,229,1.027865521825789,fg,20,Serious or fatal,All seasons,5,3
20-25,37,34.52453155986007,3056272,228,0.6769932064288334,1.4964103289505895,1.0652860646393307,0.21009721477786136,0.6176,5000,229,1.0717017242029152,fg,20,Serious or fatal,All seasons,5,4
25-30,26,10.339293268745154,973251,226,1.42639741581679,3.730884628074391,2.489536887597735,0.582964749976282,0.9982,5000,229,2.514678646227774,fg,20,Serious or fatal,All seasons,5,5
